DATE,TAVG
2/3/16,42
2/4/16,42
2/5/16,30
2/6/16,27
2/7/16,33
2/8/16,32
2/9/16,28
2/10/16,27
2/11/16,13
2/12/16,9
2/13/16,5
2/14/16,-6
2/15/16,6
2/16/16,34
2/17/16,28
2/18/16,19
2/19/16,18
2/20/16,40
2/21/16,41
2/22/16,31
2/23/16,27
2/24/16,35
2/25/16,42
2/26/16,21
2/27/16,23
2/28/16,39
2/29/16,46
3/1/16,30
3/2/16,33
3/3/16,18
3/4/16,22
3/5/16,22
3/6/16,26
3/7/16,39
3/8/16,51
3/9/16,61
3/10/16,58
3/11/16,43
3/12/16,38
3/13/16,48
3/14/16,41
3/15/16,43
3/16/16,50
3/17/16,47
3/18/16,37
3/19/16,29
3/20/16,25
3/21/16,30
3/22/16,32
3/23/16,47
3/24/16,46
3/25/16,49
3/26/16,35
3/27/16,43
3/28/16,45
3/29/16,34
3/30/16,38
3/31/16,53
4/1/16,60
4/2/16,42
4/3/16,26
4/4/16,24
4/5/16,20
4/6/16,26
4/7/16,42
4/8/16,31
4/9/16,28
4/10/16,26
4/11/16,39
4/12/16,40
4/13/16,36
4/14/16,41
4/15/16,46
4/16/16,52
4/17/16,58
4/18/16,59
4/19/16,53
4/20/16,49
4/21/16,56
4/22/16,58
4/23/16,48
4/24/16,43
4/25/16,50
4/26/16,47
4/27/16,40
4/28/16,43
4/29/16,46
4/30/16,44
5/1/16,44
5/2/16,46
5/3/16,44
5/4/16,48
5/5/16,47
5/6/16,50
5/7/16,51
5/8/16,50
5/9/16,47
5/10/16,48
5/11/16,56
5/12/16,62
5/13/16,62
5/14/16,55
5/15/16,41
5/16/16,42
5/17/16,51
5/18/16,51
5/19/16,51
5/20/16,57
5/21/16,57
5/22/16,54
5/23/16,61
5/24/16,64
5/25/16,67
5/26/16,71
5/27/16,73
5/28/16,75
5/29/16,77
5/30/16,70
5/31/16,68
6/1/16,66
6/2/16,67
6/3/16,68
6/4/16,67
6/5/16,66
6/6/16,65
6/7/16,64
6/8/16,51
6/9/16,51
6/10/16,55
6/11/16,62
6/12/16,65
6/13/16,52
6/14/16,56
6/15/16,63
6/16/16,67
6/17/16,67
6/18/16,69
6/19/16,72
6/20/16,74
6/21/16,70
6/22/16,64
6/23/16,64
6/24/16,65
6/25/16,70
6/26/16,73
6/27/16,70
6/28/16,68
6/29/16,62
6/30/16,65
7/1/16,67
7/2/16,63
7/3/16,65
7/4/16,67
7/5/16,72
7/6/16,75
7/7/16,76
7/8/16,74
7/9/16,72
7/10/16,64
7/11/16,64
7/12/16,70
7/13/16,75
7/14/16,76
7/15/16,76
7/16/16,70
7/17/16,69
7/18/16,72
7/19/16,67
7/20/16,67
7/21/16,72
7/22/16,79
7/23/16,79
7/24/16,76
7/25/16,73
7/26/16,71
7/27/16,73
7/28/16,75
7/29/16,75
7/30/16,66
7/31/16,67
8/1/16,69
8/2/16,68
8/3/16,67
8/4/16,69
8/5/16,71
8/6/16,73
8/7/16,69
8/8/16,69
8/9/16,69
8/10/16,74
8/11/16,76
8/12/16,75
8/13/16,79
8/14/16,75
8/15/16,70
8/16/16,72
8/17/16,70
8/18/16,69
8/19/16,69
8/20/16,71
8/21/16,70
8/22/16,62
8/23/16,62
8/24/16,69
8/25/16,70
8/26/16,74
8/27/16,72
8/28/16,73
8/29/16,72
8/30/16,65
8/31/16,67
9/1/16,65
9/2/16,61
9/3/16,60
9/4/16,62
9/5/16,67
9/6/16,69
9/7/16,70
9/8/16,74
9/9/16,71
9/10/16,71
9/11/16,69
9/12/16,58
9/13/16,65
9/14/16,67
9/15/16,55
9/16/16,57
9/17/16,61
9/18/16,68
9/19/16,67
9/20/16,66
9/21/16,66
9/22/16,65
9/23/16,68
9/24/16,55
9/25/16,51
9/26/16,52
9/27/16,59
9/28/16,56
9/29/16,54
9/30/16,50
10/1/16,52
10/2/16,56
10/3/16,56
10/4/16,56
10/5/16,54
10/6/16,56
10/7/16,58
10/8/16,58
10/9/16,49
10/10/16,43
10/11/16,44
10/12/16,52
10/13/16,50
10/14/16,43
10/15/16,46
10/16/16,56
10/17/16,60
10/18/16,67
10/19/16,63
10/20/16,53
10/21/16,55
10/22/16,40
10/23/16,42
10/24/16,43
10/25/16,37
10/26/16,34
10/27/16,32
10/28/16,36
10/29/16,43
10/30/16,53
10/31/16,38
11/1/16,38
11/2/16,52
11/3/16,55
11/4/16,44
11/5/16,42
11/6/16,44
11/7/16,38
11/8/16,47
11/9/16,45
11/10/16,39
11/11/16,43
11/12/16,34
11/13/16,40
11/14/16,44
11/15/16,44
11/16/16,43
11/17/16,44
11/18/16,44
11/19/16,54
11/20/16,29
11/21/16,24
11/22/16,26
11/23/16,27
11/24/16,31
11/25/16,38
11/26/16,35
11/27/16,33
11/28/16,36
11/29/16,44
11/30/16,47
12/1/16,42
12/2/16,35
12/3/16,32
12/4/16,31
12/5/16,32
12/6/16,32
12/7/16,33
12/8/16,31
12/9/16,23
12/10/16,20
12/11/16,18
12/12/16,28
12/13/16,29
12/14/16,24
12/15/16,14
12/16/16,10
12/17/16,19
12/18/16,35
12/19/16,14
12/20/16,15
12/21/16,24
12/22/16,30
12/23/16,31
12/24/16,34
12/25/16,32
12/26/16,28
12/27/16,39
12/28/16,27
12/29/16,27
12/30/16,27
12/31/16,26
1/1/17,32
1/2/17,29
