STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CITY
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/9/2015,23,",,U",27,"H,,U",19,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/10/2015,22,",,U",30,"H,,U",15,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/11/2015,23,",,U",37,"H,,U",13,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/12/2015,20,",,U",31,"H,,U",1,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/13/2015,-1,",,U",14,"H,,U",-13,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/14/2015,13,",,U",21,"H,,U",-4,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/15/2015,1,",,U",9,"H,,U",-9,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/16/2015,-1,",,U",13,"H,,U",-12,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/17/2015,4,",,U",27,"H,,U",-11,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/18/2015,7,",,U",27,"H,,U",-18,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/19/2015,7,",,U",16,"H,,U",-5,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/20/2015,-1,",,U",14,"H,,U",-17,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/21/2015,10,",,U",21,"H,,U",-16,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/22/2015,25,",,U",34,"H,,U",18,"H,I,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/23/2015,3,",,U",15,"H,I,U",-17,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/24/2015,3,",,U",20,"H,,U",-23,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/25/2015,15,",,U",29,"H,,U",-1,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/26/2015,10,",,U",21,"H,,U",-1,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/27/2015,4,",,U",23,"H,,U",-12,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,2/28/2015,4,",,U",30,"H,,U",-16,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/1/2015,15,",,U",24,"H,,U",-8,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/2/2015,23,",,U",30,"H,,U",12,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/3/2015,15,",,U",28,"H,,U",-5,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/4/2015,32,",,U",40,"H,,U",28,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/5/2015,14,",,U",27,"H,,U",5,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/6/2015,11,",,U",28,"H,,U",-10,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/7/2015,22,",,U",33,"H,,U",8,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/8/2015,29,",,U",39,"H,,U",14,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/9/2015,30,",,U",49,"H,,U",12,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/10/2015,34,",,U",49,"H,,U",14,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/11/2015,42,",,U",53,"H,,U",36,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/12/2015,29,",,U",37,"H,,U",14,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/13/2015,31,",,U",45,"H,,U",11,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/14/2015,38,",,U",41,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/15/2015,32,",,U",35,"H,,U",29,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/16/2015,38,",,U",52,"H,,U",28,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/17/2015,33,",,U",39,"H,,U",25,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/18/2015,20,",,U",29,"H,,U",7,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/19/2015,19,",,U",36,"H,,U",-2,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/20/2015,24,",,U",31,"H,,U",13,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/21/2015,32,",,U",41,"H,,U",26,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/22/2015,20,",,U",28,"H,,U",14,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/23/2015,15,",,U",27,"H,,U",5,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/24/2015,20,",,U",39,"H,,U",-1,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/25/2015,29,",,U",44,"H,,U",7,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/26/2015,35,",,U",40,"H,,U",32,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/27/2015,33,",,U",41,"H,,U",23,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/28/2015,20,",,U",29,"H,,U",7,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/29/2015,27,",,U",43,"H,,U",2,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/30/2015,35,",,U",42,"H,,U",29,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,3/31/2015,34,",,U",45,"H,,U",23,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/1/2015,30,",,U",44,"H,,U",16,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/2/2015,44,",,U",62,"H,,U",19,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/3/2015,49,",,U",64,"H,,U",40,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/4/2015,35,",,U",41,"H,,U",27,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/5/2015,32,",,U",34,"H,,U",30,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/6/2015,46,",,U",62,"H,,U",29,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/7/2015,43,",,U",48,"H,,U",38,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/8/2015,37,",,U",39,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/9/2015,39,",,U",45,"H,,U",35,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/10/2015,45,",,U",54,"H,,U",38,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/11/2015,37,",,U",43,"H,,U",26,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/12/2015,45,",,U",67,"H,,U",23,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/13/2015,57,",,U",76,"H,,U",31,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/14/2015,49,",,U",66,"H,,U",31,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/15/2015,44,",,U",62,"H,,U",25,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/16/2015,51,",,U",70,"H,,U",24,"H,,U",NEW_YORK
